,name,id,text,retweet_count,like_count,created_at
0,nytimes,1599152763325366274,"In Opinion

Paul Farmer had a ""straightforward philosophy: All sick people deserve high-quality treatment. Illness and poverty are intertwined. The proper response is to provide resources while working with people to empower them,"" writes Zeynep Tufekci. https://t.co/VxAMFSubke",12,56,2022-12-03 21:25:04+00:00
1,nytimes,1599151408175104000,"Lionel Messi and Argentina advanced to the World Cup quarterfinals after seeing off a scrappy but ultimately overwhelmed Australia. They will face the Netherlands next, and perhaps answer whether they are the dominant favorites everybody expected. https://t.co/f1Iw6e0RON https://t.co/uQhQyOqd8B",30,253,2022-12-03 21:19:41+00:00
2,nytimes,1599149964327788544,"A widow is putting a 400-year-old emerald ring, valued between $50,000 and $70,000, up for auction at Sotheby’s next week. All proceeds will be donated to support humanitarian efforts in Ukraine. https://t.co/K5GkHu47w4",58,275,2022-12-03 21:13:56+00:00
3,nytimes,1599146927962062853,Lionel Messi is now in the World Cup quarterfinals after Argentina held off a scrappy Australia. See the highlights. https://t.co/wUNEymTZwv,69,626,2022-12-03 21:01:52+00:00
4,nytimes,1599146524910538752,"Orange and lemon zests make this recipe, from a former White House pastry chef, especially delicious, if you plan on eating your gingerbread house (and you can, even weeks after baking). https://t.co/aaJ8Tmt7s3 https://t.co/MI1KlaXT9P",10,72,2022-12-03 21:00:16+00:00
5,nytimes,1599145210155601921,"New York's Hudson Valley and the Catskills have become the home to grunge icons, ex-punks and one-hit wonders who want to start over. The artists in the area make up a dream festival bill for the Lollapalooza generation. https://t.co/OGLlOeXVDK",17,86,2022-12-03 20:55:03+00:00
6,nytimes,1599138861262708739,"Pelé, the three-time World Cup winner from Brazil, was in stable condition after being admitted to a hospital in São Paulo earlier this week to reassess chemotherapy, officials said Saturday. https://t.co/0AdpPv3bOh",33,193,2022-12-03 20:29:49+00:00
7,nytimes,1599135163950178305,President Cyril Ramaphosa of South Africa said on Saturday that he would not resign and will instead challenge a parliamentary report that suggests he may have illegally covered up a crime at his private game farm. https://t.co/IW5b9EeM8I,45,93,2022-12-03 20:15:08+00:00
8,nytimes,1599135148255199232,"An end-of-year tradition, Advent calendars provide a daily delight in the weeks leading up to Christmas. 

These are the favorites of @Wirecutter staffers. https://t.co/GVBbhSutx5",7,42,2022-12-03 20:15:04+00:00
9,nytimes,1599130127065128961,"About eight million laundry and cleaning products from the brand the Laundress were recalled because they may contain bacteria that can cause infections in people, especially those with weakened immune systems. https://t.co/KmlNQdlPbZ",55,105,2022-12-03 19:55:07+00:00
10,nytimes,1599126351272988675,Georgia's Senate contest between Herschel Walker and Senator Raphael Warnock might have been a showcase of Black political power in the Deep South. But many Black voters say Walker's turbulent campaign has marred the moment. https://t.co/4mgCRQGYba,32,143,2022-12-03 19:40:07+00:00
11,nytimes,1599122565275983873,"If you were asked to explain the difference between whole grain, multigrain and whole wheat, would you be able to?

If not, you’re not alone. https://t.co/QHghrZZl3l",19,87,2022-12-03 19:25:04+00:00
12,nytimes,1599122560288948240,"Social media is filled with memes in which people “beg” men to get therapy, or deploy variations of the formula that “men will literally do anything but go to therapy.”  And yet high-quality psychotherapy remains staggeringly expensive and hard to find. 
 https://t.co/y70dxzfJYp",27,111,2022-12-03 19:25:03+00:00
13,nytimes,1599120054179749891,From @TheAthleticFC: The BBC “strongly refute” any suggestion that there has been a racist undertone to its coverage of the 2022 #FIFAWorldCup but it is increasingly evident it has got under the skin of Qatar since setting up its temporary bases in Doha. https://t.co/ZwtZrupRmR https://t.co/F7luzvkDgj,20,82,2022-12-03 19:15:05+00:00
14,nytimes,1599116662392905734,Lionel Messi continues his final run for a World Cup championship as Argentina faces Australia in a knockout game. Follow live updates. https://t.co/yActSs54UC,34,246,2022-12-03 19:01:37+00:00
15,nytimes,1599116369911599110,Gifting a bottle of batched rye manhattan can make someone’s day and the whole holiday season that much more festive. https://t.co/Wkf7CYH79U https://t.co/hxkP0fzvKp,23,127,2022-12-03 19:00:27+00:00
16,nytimes,1599115023749627904,"Viking Cruises said one passenger died and four others were injured this week after a “rogue wave” struck a cruise ship bound for Ushuaia, Argentina. https://t.co/PzH9oy8qXO",38,107,2022-12-03 18:55:06+00:00
17,nytimes,1599114634296188928,"RT @NickAtNews: NEW from Moscow, Idaho: It's been three weeks, but the killer who fatally stabbed four Idaho college students remains on th…",23,0,2022-12-03 18:53:33+00:00
18,nytimes,1599112515107147777,People always underestimate how many lights they actually need for their Christmas decorations. @Wirecutter has some holiday hacks for you.  https://t.co/vmc4I0rQGw,14,82,2022-12-03 18:45:08+00:00
19,nytimes,1599111257398906881,"Miguel Tomasín, a professional musician with Down syndrome, has released over 100 albums, turning his band into one of South America’s most influential underground acts and helping hundreds of people with disabilities express their voices through music. https://t.co/7SzMESNm8G https://t.co/GBspEGGN5Z",85,476,2022-12-03 18:40:08+00:00
20,nytimes,1599107469426434048,"Her job is to clean Michaelangelo’s revered marble statue, David. The task can be exhilarating — if somewhat nerve-racking.

Read this and 10 other stories handpicked by Times editors in The Weekender. https://t.co/PcxD6hfGMS",14,80,2022-12-03 18:25:05+00:00
21,nytimes,1599106213710528513,"The opposite of schadenfreude is ""freudenfreude"" — the bliss you feel when someone else succeeds, even if it doesn't directly involve you. The benefits are plentiful but don't always come easily. Here's how to experience more freudenfreude.https://t.co/R2IuNhqtgg https://t.co/NDnsUwU2Zb",601,2370,2022-12-03 18:20:05+00:00
22,nytimes,1599102427961167872,"In today’s edition of our 31 Days series, staff editor @jen_harlan looks back at the history of ice skating in New York through archival photos. ⛸https://t.co/3BWlE0xLqb",10,57,2022-12-03 18:05:03+00:00
23,nytimes,1599101883406221313,"The U.S.'s World Cup dreams were dashed by the Netherlands in clinical fashion on Saturday, with a 3-1 defeat sending the Americans home.

See our highlights and the latest updates. https://t.co/Qv91kBlC4P https://t.co/YamGo9VCl9",40,289,2022-12-03 18:02:53+00:00
24,nytimes,1599101270320717824,"One day, probably when you have an emergency, you will regret not organizing your important life documents. 

Do it now and you'll be thankful later. @Wirecutter has a simple guide for you. https://t.co/Bp88t3to1f",28,133,2022-12-03 18:00:27+00:00
25,nytimes,1599099928395005953,"Rahul Gandhi, scion of a once-mighty political dynasty in India, hopes that a 2,000-mile journey through the entire length of the country will pull his party out of the political wilderness. The future of India as a multiparty democracy may be on the line. https://t.co/IrGvQjsqa7",162,604,2022-12-03 17:55:07+00:00
26,nytimes,1599097393949163528,From @TheAthleticFC: Argentina went from being one of the pre-tournament favorites to a shocking upset loss to winning its group. Australia was one of the biggest longshots entering the World Cup but is in the Round of 16 to take on Lionel Messi and co. https://t.co/yDm0s9D9Zk,18,122,2022-12-03 17:45:03+00:00
27,nytimes,1599096143237070860,"The deaths of men that were at first regarded as isolated drug overdoses have now spread fear and rumor in New York's LGBTQ community, while starting a broader conversation about similar attacks that have quietly plagued the city's gay nightlife for years. https://t.co/fQLzJlyijN",41,148,2022-12-03 17:40:04+00:00
28,nytimes,1599093654353756160,"“I wanted a different kind of adventure than the kind people tend to associate with the islands,” writes @tariro, “one that didn’t involve parking myself on a beach with a mai tai.” On a trip to Hawaii, she gave sustainable tourism a shot. https://t.co/Q7nBNyt3VX",11,82,2022-12-03 17:30:11+00:00
29,nytimes,1599093606455087105,RT @TheAthleticFC: Migrant workers have helped build Qatar's World Cup from scratch - but some are earning just £227 a month and sleep in d…,41,0,2022-12-03 17:30:00+00:00
30,nytimes,1599092379428036608,"A Texas man was arrested on Friday on a federal charge that he left a voice mail message in which he threatened to kill a Boston doctor who provides care to gender nonconforming children, the authorities said. https://t.co/iY78xYQlqP",57,242,2022-12-03 17:25:07+00:00
31,nytimes,1599092374533292037,"When the 69-year-old man's blood pressure was measured while lying flat, it was normal. But it plunged when he sat up. And when he stood up, it dropped so low he almost fainted. It was happening more and more often. What was wrong with him? https://t.co/cIXOfdjMmk",25,139,2022-12-03 17:25:06+00:00
32,nytimes,1599089848463286272,"From @TheAthleticFC: The past four World Cups have spanned 12 years, visited four continents and cost their hosts somewhere in the ballpark of $250 billion.
Despite all that, there’s one big problem: every World Cup now looks the same. https://t.co/HJXwoRRSIT",40,204,2022-12-03 17:15:04+00:00
33,nytimes,1599087984934113280,"The Netherlands beat the U.S. in a World Cup Round of 16 game, sending the Americans home. Next up for the Netherlands will be the winner of the Argentina-Australia match played later on Saturday. https://t.co/Ne05Kx3iKC https://t.co/wOdprNqS4f",186,1407,2022-12-03 17:07:39+00:00
34,nytimes,1599086180846501889,"""One of the best things I’ve eaten in ages. Every bite was a perfect combination of rich complex flavors and cheesy goodness.""

Have a quesabirria taco. You deserve it.
https://t.co/9YiRibtIjX https://t.co/C7HM8VPiJz",69,839,2022-12-03 17:00:29+00:00
35,nytimes,1599085585154670593,Breaking News: The U.S. is out of the World Cup after falling to the Netherlands in a decisive game. https://t.co/yHJrFER19n,59,367,2022-12-03 16:58:07+00:00
